Population,MortalityRate,NatalityRate,GDP,GDP_PC
8996973,,7.45,537777811.111111,59.7732337032148
9169410,,7.45,548888895.555556,59.8608999923829
9351441,,7.45,546666677.777778,58.4580086983139
9543205,,7.45,751111191.111111,78.7064287776753
9744781,,7.45,800000044.444444,82.0953065340517
9956320,,7.45,1006666637.77778,101.108325163758
10174836,,7.45,1399999966.66667,137.594297961115
10399926,5.024646305515726,7.45,1673333417.77778,160.898434161304
10637063,4.945349581425852,7.45,1373333366.66667,129.108310965006
10893776,4.857454332622345,7.45,1408888922.22222,129.329760364199
11173642,4.765585188157786,7.45,1748886595.55556,156.518771348706
11475445,4.6679650906936105,7.45,1831108971.11111,159.567508996258
11791215,4.569500938918799,7.45,1595555475.55556,135.317227981591
12108963,4.467269410270723,7.45,1733333264.44444,143.144649500081
12412950,4.369787705752698,7.45,2155555497.77778,173.653624742026
12689160,4.2815271360666465,7.45,2366666615.55556,186.510838346447
12943093,4.1932789944412825,7.45,2555555566.66667,197.445507551145
13171306,4.101723034957689,7.45,2953333417.77778,224.225001566116
13341198,4.016955297646036,7.45,3300000108.88889,247.354087806417
13411056,3.9423431108353855,7.45,3697940409.61098,275.738115377232
13356511,3.883502414554711,7.45,3641723321.99546,272.655510200686
13171673,3.8411200272949255,7.45,3478787909.09091,264.111197144336
12882528,3.809115578181222,7.45,,
12537730,3.774047810241916,7.45,,
12204292,3.7092645825170227,7.46,,
11938208,3.611179705087968,7.46,,
11736179,3.491256139030623,7.46,,
11604534,3.354722092340083,7.46,,
11618005,3.1936628034685466,7.46,,
11868877,2.9984312748143824,7.46,,
12412308,2.773053301677665,7.47,,
13299017,2.521690326562507,7.48,,
14485546,2.280480614361505,7.5,,
15816603,2.0779432951491916,7.54,,
17075727,1.9337389304865948,7.57,,
18110657,1.8438862146507953,7.61,,
18853437,1.7973373989388888,7.63,,
19357126,1.7778982272471646,7.63,,
19737765,1.7674742384778017,7.61,,
20170844,1.7463817954694711,7.56,,
20779953,1.702409682560941,7.49,,
21606988,1.6337766959880395,7.39,,
22600770,1.54786734295029,7.27,4055179566.34981,179.426579211394
23680871,1.4548451363972212,7.15,4515558808.10994,190.683814295088
24726684,1.3637491052684005,7.02,5226778808.89209,211.382074198939
25654277,1.2801765506987257,6.88,6209137624.77181,242.031313175022
26433049,1.2040982923731336,6.72,6971285594.68013,263.733601866274
27100536,1.1344422558043303,6.56,9747879531.86311,359.693157866109
27722276,1.065568883022288,6.37,10109305182.952,364.6635420423
28394813,0.995569400967205,6.18,12416161048.8412,437.26874023514
29185507,0.9245683585940984,5.98,15856678596.148,543.306526178281
30117413,0.8518660518329414,5.77,17805113118.8938,591.190030208565
31161376,0.7797151974473016,5.56,19907317065.6666,638.845851607289
32269589,0.7097393732155027,5.36,20146404996.223,624.315454506615
33370794,0.6468228934490161,5.16,20497126770.1335,614.223342360392
34413603,0.5898249015076974,4.98,19134211763.859,556.007220861443
35383128,0.541191669633249,4.8,18116562464.9088,512.012778129357
36296400,0.4991994872398313,4.63,18753469630.2586,516.679862210543
1608800,,6.49,,
1659800,,6.4,,
1711319,,6.28,,
1762621,,6.13,,
1814135,,5.96,,
1864791,,5.77,,
1914573,,5.58,,
1965598,,5.39,,
2022272,,5.22,,
2081695,,5.06,,
2135479,,4.91,,
2187853,,4.78,,
2243126,,4.64,,
2296752,,4.51,,
2350124,,4.37,,
2404831,,4.24,,
2458526,,4.1,,
2513546,,3.97,,
2566266,,3.84,,
2617832,,3.73,,
2671997,,3.62,,
2726056,,3.53,,
2784278,,3.45,,
2843960,0.26995989619198363,3.38,,
2904429,0.23828035956919463,3.32,1857338011.85488,639.484735848211
2964762,0.21214471232671903,3.27,1897050133.42015,639.865909445734
3022635,0.18954070378401425,3.22,2097326250.0,693.873474633887
3083605,0.17120591687648726,3.16,2080796250.0,674.793383069492
3142336,0.15620255347438214,3.11,2051236250.0,652.774321396566
3227943,0.14365024480395885,3.05,2253090000.0,697.995596576519
3286542,0.13359423262438108,2.98,2028553750.0,617.230435515505
3266790,0.12620423686523308,2.91,1099559027.77778,336.586994504629
3247039,0.12015205704942901,2.83,652174990.837304,200.852219772323
3227287,0.11454696362914826,2.75,1185315468.46295,367.279225077581
3207536,0.10805595264352531,2.67,1880951520.3972,586.416339644261
3187784,0.1008698255626625,2.59,2392764853.42107,750.604449178826
3168033,0.09294223156234277,2.51,3199641335.93751,1009.97727483821
3148281,0.08420042022784441,2.42,2258513974.0968,717.380047745673
3128530,0.07554572139573774,2.33,2545964540.88383,813.789396580449
3108778,0.06724949562878278,2.25,3212121650.97755,1033.24253162418
3089027,0.059758804517126486,2.16,3480355258.04122,1126.68334010717
3060173,0.052401171869133824,2.07,3922100793.5403,1281.6598256178
3051010,0.04670232036960088,1.98,4348068242.19512,1425.12421860142
3039616,0.04137244922012934,1.9,5611496257.14231,1846.12012081207
3026939,0.03607209652635372,1.82,7184685781.51876,2373.58129170055
3011487,0.031747985784677385,1.76,8052073539.38058,2673.78658429559
2992547,0.027750381078027214,1.7,8896072918.9814,2972.74292399799
2970017,0.024719898826398082,1.67,10677324144.4289,3595.03805682893
2947314,0.02198034224725021,1.65,12881353507.8539,4370.5399247769
2927519,0.019844980430831164,1.65,12044208085.864,4114.13489916342
2913021,0.017638903823537694,1.66,11926922828.9911,4094.34838574494
2905195,0.016390078402622958,1.67,12890764531.3284,4437.14261222684
2900401,0.014755887856624931,1.68,12319830437.3467,4247.63004748194
2895092,0.014119488061800654,1.69,12776220507.0162,4413.06200528903
2889104,0.013120156116047091,1.69,13228147516.1168,4578.63320812155
2880703,0.01314640528845289,1.68,11386850129.8411,3952.80253807527
2876101,0.012818616233842048,1.66,11861199830.8396,4124.05538986272
2873457,0.012828651857779486,1.64,13019689336.6919,4531.0193737689
11057863,4.400759495685604,7.52,2723593384.78054,246.303751319472
11336339,4.408743706961403,7.57,2434727329.809,214.771980100889
11619828,4.434144808339676,7.61,2001428328.37091,172.242508957181
11912803,4.46016049963065,7.65,2702960118.28806,226.895450128271
12221675,4.474427605054136,7.67,2909292864.23204,238.0437103942
12550885,4.4821558328977735,7.68,3136258896.9233,249.883585607009
12902627,4.480250764456786,7.68,3039834558.74906,235.598130082129
13275026,4.4486561978814345,7.67,3370843065.76735,253.923765521058
13663583,4.391894043003807,7.67,3852115816.97758,281.925786291132
14061722,4.300255075408961,7.66,4257218772.15369,302.752263673622
14464985,4.167095287712568,7.64,4863487492.65763,336.224692876265
14872250,4.015396994658442,7.62,5077222366.97472,341.38891847622
15285990,3.842799342038122,7.6,6766766610.86932,442.677623465283
15709825,3.6514078350047177,7.56,8707847924.29022,554.292908961925
16149025,3.4459680458588875,7.51,13210029612.2659,818.008228875953
16607707,3.2208542227325077,7.43,15557934268.4965,936.790082176098
17085801,2.9911390155063864,7.34,17728347374.994,1037.60715989893
17582904,2.7548926943162213,7.23,20971901273.271,1192.74422683489
18102266,2.5070342022374437,7.11,26364491313.4471,1456.41939597215
18647815,2.2429990538830826,6.96,33243422157.6311,1782.69931975524
19221665,1.9477507118402215,6.79,42346380830.7708,2203.05546106977
19824301,1.6158454446076953,6.62,44348672667.8715,2237.08677628627
20452902,1.2806985180244113,6.43,45207088715.6483,2210.30203566957
21101875,0.983514498119243,6.24,48801369800.3675,2312.65561948251
21763575,0.738343667571573,6.04,53698278905.9678,2467.34608187899
22431502,0.5556470191681726,5.84,57937868670.1937,2582.87901344273
23102389,0.4327258664970796,5.63,63692238160.0493,2756.95498118893
23774284,0.35580457155245077,5.41,66746396416.2732,2807.50360321103
24443467,0.3060530844390682,5.19,59089067187.3943,2417.37618892252
